title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Pihalla,2017,12,3,7,8,7,Nils-Erik Ekblom,7.0,3.0
Curse of the Witch's Doll,2018,10,,,2,1,Lawrence Fowler,13.0,12.0
Gekijouban Mahouka koukou no rettousei: Hoshi o yobu shoujo,2017,18,14,6,6,4,Risako Yoshida,,
The Fast and the Fierce,2017,14,5,16,4,1,Ron Thornton,26.0,2.0
102 Not Out,2018,12,3,,8,7,Umesh Shukla,53.0,13.0
Despido procedente,2017,12,,,8,7,Lucas Figueroa,1.0,3.0
Adam Joan,2017,7,16,,8,7,Jinu Abraham,7.0,3.0
Sathya,2017,14,16,,8,7,Deepan,1.0,
Baaraat Company,2017,12,7,,8,7,Syed Ahmad Afzal,2.0,5.0
Pwera usog,2017,10,,,8,7,Jason Paul Laxamana,1.0,1.0
Strategy and Pursuit,2018,3,7,16,4,1,Matt Riddlehoover,,1.0
Hesperia,2019,2,3,16,4,1,Steve Helgoth,26.0,
Hichki,2018,12,3,,8,7,Siddharth Malhotra,87.0,24.0
Mustang Island,2017,12,,,4,1,Craig Elrod,4.0,5.0
The Last of Us,2016,5,3,6,8,7,Ala Eddine Slim,2.0,4.0
Peurizeun,2017,14,2,,8,7,Hyeon Na,7.0,17.0
Holy Air,2017,12,,,8,7,Shady Srour,2.0,2.0
Pause,2018,3,,,8,7,Tonia Mishiali,2.0,27.0
Kaikki oikein,2018,12,,,8,7,Lenka Hellstedt,,
Varasto 2,2018,12,,,8,7,Taru Mäkelä,3.0,
"Ilosia aikoja, Mielensäpahoittaja",2018,12,3,,8,7,Tiina Lymi,,
Veljeni vartija,2018,1,3,20,8,7,Jukka-Pekka Siili,2.0,
Mandy the Doll,2018,10,,,2,1,Jamie Weston,7.0,5.0
Hölmö nuori sydän,2018,3,,,8,7,Selma Vilhunen,2.0,2.0
Drive,2019,14,16,,8,7,Tarun Mansukhani,182.0,9.0
Mes provinciales,2018,3,,,7,5,Jean-Paul Civeyrac,4.0,12.0
Kuttram 23,2017,14,2,16,8,7,Arivazhagan Venkatachalam,11.0,9.0
Gunturodu,2017,14,12,,8,7,S.K. Satya,,
Gekijouban Poketto monsutâ: Kimi ni kimeta!,2017,18,14,5,6,4,Kunihiko Yuyama,55.0,25.0
Infoholik,2017,12,7,15,8,6,"Vladyslav Klimchuk, Valentyn Shpakov",1.0,1.0
Der Unschuldige,2018,3,,,8,7,Simon Jaquemet,,11.0
Los Perros,2017,3,,,8,7,Marcela Said,1.0,16.0
Invisible,2017,3,,,8,7,Pablo Giorgelli,1.0,9.0
Mai mee Samui samrab ter,2017,3,16,,8,7,Pen-Ek Ratanaruang,1.0,9.0
Contromano,2018,12,,,5,2,Antonio Albanese,,7.0
Selfie,2017,12,,,8,7,Víctor García León,,9.0
Júlia ist,2017,3,,,8,7,Elena Martín,,10.0
Llueven vacas,2017,3,,,8,7,Fran Arráez,,1.0
Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,2016,18,17,,6,4,Shunsuke Tada,,
The Ranger,2018,10,,,4,1,Jenn Wexler,31.0,64.0
El futuro que viene,2017,3,,,8,7,Constanza Novick,,5.0
Take Me,2017,12,2,,4,1,Pat Healy,23.0,16.0
Haebing,2017,16,,,8,7,Soo-youn Lee,7.0,22.0
El cuaderno de Sara,2018,5,3,9,8,7,Norberto López Amado,14.0,5.0
Ray & Liz,2018,3,,,2,1,Richard Billingham,11.0,61.0
Dragon Kingdom,2018,5,15,,2,1,Simon Wells,24.0,5.0
One Two Jaga,2018,2,3,,8,7,Namron,8.0,17.0
Yi ge du sheng nü de gu shi,1994,3,,,8,7,Guo Lin,2.0,
Örök tél,2018,3,4,7,8,7,Attila Szász,3.0,28.0
"Ni hao, feng zi!",2016,12,3,9,8,7,Xiaozhi Rao,1.0,
American Guinea Pig: The Song of Solomon,2017,10,,,4,1,Stephen Biro,10.0,22.0
Yuen Loeng Taa 77 Chi,2017,12,3,7,8,7,Herman Yau,1.0,5.0
Kita kita,2017,12,3,7,8,7,Sigrid Andrea Bernardo,13.0,3.0
Koi to sayonara to Hawai,2017,3,,,6,4,Shingo Matsumura,1.0,6.0
Pappa pia,2017,12,20,7,8,7,Gabor Csupo,9.0,8.0
Rust Creek,2018,3,10,16,4,1,Jen McGowan,105.0,37.0
Bad Investigate,2018,14,12,2,8,7,Luis Ismael,4.0,2.0
Changeland,2019,12,3,,4,1,Seth Green,44.0,8.0
PSV Garuda Vega,2017,14,3,,8,7,Praveen Sattaru,4.0,4.0
Angrezi Mein Kehte Hain,2018,3,,,8,7,Harish Vyas,19.0,3.0
Solo,2017,14,3,16,8,7,Bejoy Nambiar,27.0,9.0
Clara,2018,15,,,8,1,Akash Sherman,53.0,22.0
Adiós entusiasmo,2017,3,,,8,7,Vladimir Durán,1.0,31.0
Encounter,2018,15,,,4,1,Paul Salamoff,34.0,1.0
A tökéletes gyilkos,2017,2,3,9,8,7,József Pacskovszky,,1.0
Manu,2018,9,7,16,8,7,Phanindra Narsetti,160.0,1.0
Minnaminungu,2017,3,,,8,7,Anil Thomas,2.0,
Ranam,2018,14,2,3,8,7,Nirmal Sahadev,23.0,10.0
Criando ratas,2016,3,,,8,7,Carlos Salado,,2.0
Villain,2017,14,2,16,8,7,B. Unnikrishnan,17.0,9.0
The Favorite,2019,3,,,4,1,Curtis Graham,7.0,
Beloved Beast,2018,10,,,4,1,Jonathan Holbrook,10.0,9.0
Ondu Motteya Kathe,2017,12,3,,8,7,Raj B. Shetty,11.0,9.0
Lakshyam,2017,14,5,16,8,7,Anzar Khan,3.0,3.0
Indu Sarkar,2017,3,4,16,8,7,Madhur Bhandarkar,23.0,8.0
Wally Got Wasted,2019,12,,,4,1,Adam William Ward,41.0,1.0
Korô no chi,2018,2,3,,6,4,Kazuya Shiraishi,5.0,17.0
Soratobu taiya,2018,3,,,6,4,Katsuhide Motoki,,1.0
Tabineko ripôto,2018,3,,,6,4,Kôichirô Miki,1.0,4.0
The House of Violent Desire,2018,10,9,16,2,1,Charlie Steeds,5.0,2.0
A Good Woman Is Hard to Find,2019,2,16,,2,1,Abner Pastoll,11.0,74.0
Rodney King,2017,3,,,4,1,Spike Lee,3.0,4.0
Ahlat Agaci,2018,3,,,8,7,Nuri Bilge Ceylan,43.0,103.0
Gogol. Nachalo,2017,5,2,10,3,6,Egor Baranov,3.0,8.0
Shang hai bao lei,2019,15,8,,8,7,Hua-Tao Teng,55.0,8.0
Penny Palabras,2018,6,10,,4,1,Ken Carlson,7.0,
Bad Times at the El Royale,2018,2,3,9,4,1,Drew Goddard,850.0,292.0
Mamá se fue de viaje,2017,12,13,,8,7,Ariel Winograd,3.0,6.0
Comme des rois,2017,3,,,7,5,Xabi Molia,1.0,
La chute de Sparte,2018,3,,,8,5,Tristan Dubois,,2.0
The Wrong Nanny,2017,16,,,4,1,Craig Goldsmith,3.0,3.0
Blank 13,2017,12,3,13,6,4,Takumi Saitoh,1.0,8.0
Jinn,2018,3,,,4,1,Nijla Mumin,8.0,14.0
Jattu Engineer,2017,12,,,8,7,"Honeypreet Insan, Gurmeet Ram Rahim Singh",207.0,1.0
Kadugu,2017,3,,,8,7,Vijay Milton,4.0,8.0
Triple Threat,2019,14,16,,8,1,Jesse V. Johnson,117.0,68.0
A Quiet Place,2018,3,10,15,4,1,John Krasinski,2617.0,541.0
Baad Az Zohre Sagie Sagi,2010,12,2,3,8,7,Mostafa Kiayee,,1.0
Space Babes from Outer Space,2017,12,15,,4,1,Brian K. Williams,11.0,6.0
Making Babies,2018,12,,,4,1,Josh F. Huber,7.0,3.0
Yuddham Sharanam,2017,14,16,,8,7,Krishna Marimuthu,1.0,3.0
Les hommes du feu,2017,3,,,7,5,Pierre Jolivet,1.0,6.0
Tungstênio,2018,3,,,8,7,Heitor Dhalia,,
Bijeongkyujik Teuksuyowon,2017,14,12,,8,7,Deok-Soo Kim,3.0,2.0
Guai guai guai guaiwu!,2017,10,,,8,7,Giddens Ko,8.0,19.0
Maracaibo,2017,2,3,16,8,7,Miguel Angel Rocca,,
Hollywood Dirt,2017,7,,,4,1,Tosca Musk,11.0,
Ahockalypse,2018,12,10,,4,1,Wayne Harry Johnson Jr.,10.0,32.0
Sunday Holiday,2017,12,3,,8,7,Jis Joy,9.0,1.0
Carbon,2018,5,16,,8,7,Venu Gopalan,7.0,4.0
Hooligan Escape The Russian Job,2018,2,,,2,7,Nicholas Winter,8.0,2.0
Fantasten,2017,3,16,,8,7,Christian Dyekjær,,1.0
God's Not Dead: A Light in Darkness,2018,3,,,4,1,Michael Mason,63.0,18.0
Fang hua,2017,3,7,8,8,7,Xiaogang Feng,15.0,19.0
Bruce Lee,2017,14,12,,8,7,Prashanth Pandiraj,,3.0
Every Time I Die,2019,16,,,4,1,Robi Michael,14.0,11.0
Nabab,2017,12,7,16,8,7,Joydip Mukherjee,6.0,10.0
Feng kuang de wai xing ren,2019,12,15,,8,7,Hao Ning,9.0,6.0
What They Had,2018,3,,,4,1,Elizabeth Chomko,43.0,56.0
The Spy Who Dumped Me,2018,14,5,12,8,1,Susanna Fogel,469.0,186.0
Extremity,2018,10,,,8,1,Anthony DiBlasi,19.0,12.0
Eleven,2018,8,,,2,7,"Sean Cronin, Rock Salt",11.0,
The Marriage,2017,3,7,,8,7,Blerta Zeqiri,2.0,13.0
Photo de famille,2018,12,,,7,5,Cécilia Rouaud,1.0,16.0
Amok,2017,2,16,,8,7,Kasia Adamik,1.0,2.0
Sherlock Toms,2017,12,,,8,7,Shafi,3.0,1.0
Carnage: Swallowing the Past,2017,12,,,2,1,Simon Amstell,5.0,2.0
Wij,2018,3,,,8,7,Rene Eller,5.0,15.0
Two Graves,2018,16,,,2,1,Gary Young,12.0,3.0
Valmentaja,2018,1,3,,8,7,Tuukka Temonen,1.0,
Requiem for a Fighter,2018,3,,,8,1,Danny Patrick,10.0,1.0
Pataki,2017,14,12,,8,7,Manju Swaraj,,
Vremya pervykh,2017,5,3,4,3,6,Dmitriy Kiselev,20.0,22.0
Transit,2018,3,15,,1,3,Christian Petzold,37.0,123.0
Con Man,2018,2,3,,4,1,Bruce Caulk,32.0,2.0
In a Relationship,2018,12,3,,8,1,Sam Boyd,15.0,6.0
Incoming,2018,14,15,16,8,1,Eric Zaragoza,35.0,14.0
Mahalle,2017,3,,,8,7,"Bugra Gülsoy, Serhat Teoman",,2.0
Rimetti a noi i nostri debiti,2018,3,,,5,2,Antonio Morabito,4.0,10.0
Sari sicak,2017,3,,,8,7,Fikret Reyhan,,2.0
Outlaw King,2018,14,1,3,2,1,David Mackenzie,413.0,129.0
Off the Rails,2017,3,16,,4,1,David Jackson,4.0,3.0
Who We Are Now,2017,3,,,4,1,Matthew Newton,12.0,16.0
Street Lights,2018,2,16,,8,7,Shamdat Sainudeen,7.0,2.0
Aana Alaralodalaral,2017,12,,,8,7,Dileep Menon,6.0,
Oru Cinemakkaran,2017,2,3,9,8,7,Leo Thaddeus,3.0,2.0
CarGo,2017,18,5,13,4,1,James Cullen Bressack,7.0,2.0
Yonlu,2017,3,,,8,7,Hique Montanari,,19.0
Stebuklas,2017,12,3,,8,7,Egle Vertelyte,,13.0
Acts of Violence,2018,14,2,3,8,1,Brett Donowho,146.0,33.0
Ladies in Black,2018,12,3,7,8,1,Bruce Beresford,70.0,23.0
Maya the Bee: The Honey Games,2018,18,5,12,1,1,"Noel Cleary, Sergio Delfino",,17.0
Off Track,2017,3,,,8,7,Sander Burger,,2.0
Rapurasu no majo,2018,3,9,16,6,4,Takashi Miike,4.0,9.0
Steig. Nicht. Aus!,2018,16,,,1,3,Christian Alvart,4.0,20.0
Pokkiri Simon: Oru Kadutha Aaradhakan,2017,12,,,8,7,Jijo Antony,2.0,2.0
After Everything,2018,12,3,7,4,1,"Hannah Marks, Joey Power",3.0,9.0
Night Shift,2018,10,16,,8,1,Stephen Hall,12.0,3.0
The Field Guide to Evil,2018,10,,,8,1,"Ashim Ahluwalia, Can Evrenol",22.0,29.0
Aami,2018,1,3,,8,7,Kamal,6.0,3.0
Rangeela Raja,2019,12,,,8,7,Sikander Bharti,9.0,1.0
Première année,2018,3,,,7,5,Thomas Lilti,1.0,14.0
La belle et la belle,2018,12,,,7,5,Sophie Fillières,2.0,5.0
Sonsuz Ask,2017,7,,,8,7,Ahmet Katiksiz,3.0,
Fei fan ren wu,2017,14,2,,8,7,"Alan Mak, Anthony Pun",8.0,15.0
Meus 15 Anos,2017,12,3,,8,7,Caroline Okoshi Fioratti,,2.0
Ittefaq,2017,9,16,,8,7,Abhay Chopra,75.0,22.0
Chasing Bullitt,2018,3,,,4,1,Joe Eddy,12.0,5.0
Blizkie,2017,3,,,3,6,Kseniya Zueva,,1.0
Neghab,2005,3,9,,8,7,Kazem Rast Goftar,,
Wajib,2017,3,,,8,7,Annemarie Jacir,5.0,50.0
Los Bando,2018,5,12,13,8,7,Christian Lo,,14.0
Varnyathil Aashanka,2017,12,,,8,7,Sidharth Bharathan,5.0,4.0
Nereden Nereye,2017,12,,,8,7,Volkan Dönmez,,
Arif V 216,2018,12,15,,8,7,Kivanç Baruönü,44.0,27.0
Peregrinação,2017,5,3,,8,7,João Botelho,,4.0
Ruth,2018,1,7,,8,7,António Pinhão Botelho,,2.0
Solo,2018,5,3,7,8,7,Hugo Stuven,18.0,12.0
Baja,2018,12,,,4,1,Tony Vidal,13.0,3.0
The Riot Act,2018,16,,,4,1,Devon Parks,5.0,6.0
El fotógrafo de Mauthausen,2018,1,3,4,8,7,Mar Targarona,26.0,19.0
Les filles du soleil,2018,3,8,,7,5,Eva Husson,11.0,36.0
Elisa y Marcela,2019,1,3,7,8,7,Isabel Coixet,20.0,25.0
Les confins du monde,2018,3,8,,7,5,Guillaume Nicloux,1.0,10.0
National Theatre Live: Hedda Gabler,2016,3,,,2,1,"Ivo van Hove, Nick Wickham",1.0,1.0
Manje Bistre,2017,12,3,,8,7,Baljit Singh Deo,9.0,3.0
Trauma,2017,14,3,10,8,7,Lucio A. Rojas,12.0,65.0
Diane,2018,3,,,4,1,Kent Jones,19.0,43.0
Odiyan,2018,14,3,6,8,7,V.A. Shrikumar,127.0,6.0
La tribu,2018,12,,,8,7,Fernando Colomo,6.0,10.0
Mauvaises herbes,2018,12,,,7,5,Kheiron,11.0,15.0
Christmas on the Coast,2017,3,7,,4,1,Gary Wheeler,3.0,
The Jurassic Games,2018,14,5,10,4,1,Ryan Bellgardt,68.0,35.0
Babumoshai Bandookbaaz,2017,14,2,16,8,7,Kushan Nandy,19.0,14.0
Fukrey Returns,2017,12,,,8,7,Mrighdeep Lamba,25.0,10.0
Kavan,2017,14,16,,8,7,K.V. Anand,12.0,8.0
Kamerdyner,2018,3,4,7,8,7,Filip Bajon,,
Dead Water,2019,16,,,4,1,Chris Helton,12.0,3.0
Born a King,2019,3,4,,8,1,Agustí Villaronga,16.0,
El refugio de los insomnes,2018,3,,,8,7,"Joseduardo Giordano, Sergio Goyri Jr.",3.0,2.0
Ramen Teh,2018,3,,,8,4,Eric Khoo,9.0,44.0
High & Low: The Movie 2 - End of SKY,2017,14,,,6,4,"Shigeaki Kubo, Tsuyoshi Nakakuki",1.0,
Mugulu Nage,2017,7,,,8,7,Yograj Bhat,3.0,
Kolonya Cumhuriyeti,2017,12,,,8,7,Murat Kepez,2.0,3.0
The Intruder,2019,3,10,9,4,1,Deon Taylor,198.0,84.0
Kadamban,2017,14,5,3,8,7,N. Ragavan,3.0,4.0
Sivalinga,2017,10,,,8,7,,3.0,6.0
Playing with Dolls: Havoc,2017,10,16,,4,1,Rene Perez,6.0,5.0
Scener ur ett äktenskap,1974,3,,,8,7,Ingmar Bergman,4.0,3.0
Can't Help Falling in Love,2017,12,3,7,8,7,Mae Czarina Cruz,7.0,1.0
Raja Ranguski,2018,9,,,8,7,Dharani Dharan,9.0,3.0
Bhaagamathie,2018,14,10,16,8,7,"Ashok G., Ashok G.",19.0,17.0
Shockwave,2017,14,5,15,4,1,Nick Lyon,15.0,3.0
The Breaker Upperers,2018,12,,,8,1,"Madeleine Sami, Jackie van Beek",78.0,44.0
Gekijouban Kuroko no basuke: Last Game,2017,18,3,17,6,4,Shunsuke Tada,1.0,1.0
Tyrel,2018,12,3,,4,1,Sebastián Silva,42.0,38.0
Lazer Team 2,2018,15,,,4,1,"Daniel Fabelo, Matt Hullum",4.0,3.0
Wiro Sableng 212,2018,14,5,12,8,7,Angga Dwimas Sasongko,41.0,14.0
Jaesim,2017,2,3,,8,7,Tae-Yun Kim,8.0,4.0
Fubar,2018,12,10,,2,1,Ben Kent,12.0,9.0
Uso wo aisuru onna,2017,3,9,7,6,4,Kazuhito Nakae,1.0,1.0
Koi to uso,2017,3,7,,6,4,Takeshi Furusawa,1.0,
Power Paandi,2017,14,3,13,8,7,Dhanush,8.0,7.0
Duvvada Jagannadham,2017,14,12,,8,7,Harish Shankar,13.0,5.0
Anbanavan Asaradhavan Adangadhavan,2017,14,,,8,7,Adhik Ravichandran,5.0,7.0
Sathriyan,2017,14,,,8,7,,2.0,4.0
King Arthur and the Knights of the Round Table,2017,14,5,2,4,1,Jared Cohn,17.0,8.0
Oxygen,2017,14,16,,8,7,Jyothi Krishna,2.0,1.0
Love in Kilnerry,2019,12,,,4,1,"Daniel Keith, Snorri Sturluson",6.0,10.0
Vanamagan,2017,14,5,,8,7,"A.L. Vijay, A.L. Vijay",5.0,5.0
Solteras,2019,12,,,8,7,Luis Javier Henaine,11.0,10.0
The Green Fog,2017,9,,,4,1,"Evan Johnson, Galen Johnson",1.0,29.0
Najlepszy,2017,1,3,17,8,7,Lukasz Palkowski,3.0,3.0
Kokoro ga sakebitagatterunda.,2017,3,13,,6,4,Naoto Kumazawa,1.0,
Revenge,2017,14,10,16,7,5,Coralie Fargeat,345.0,213.0
Find Me,2018,3,,,4,1,Tom Huang,19.0,2.0
Rémi sans famille,2018,3,13,,7,5,Antoine Blossier,9.0,11.0
Numéro une,2017,3,16,,8,5,Tonie Marshall,3.0,14.0
Den skyldige,2018,2,3,16,8,7,Gustav Möller,181.0,179.0
Streaker,2017,12,17,,8,7,Peter Luisi,3.0,14.0
Candy Jar,2018,12,,,4,1,Ben Shelton,29.0,11.0
The Claire Wizard Thesis,2018,12,,,8,1,Ishak Issa,5.0,5.0
Oiktos,2018,3,,,8,7,Babis Makridis,14.0,30.0
Kaattu,2017,3,,,8,7,Arun Kumar,9.0,3.0
Captain,2018,1,17,,8,7,Prajesh Sen,5.0,2.0
8 Thottakkal,2017,14,2,16,8,7,Sri Ganesh,9.0,3.0
Rajma Chawal,2018,12,3,13,8,7,Leena Yadav,48.0,7.0
Room for Rent,2019,9,16,,4,1,Tommy Stovall,32.0,42.0
Loro 1,2018,1,3,,5,2,Paolo Sorrentino,11.0,101.0
El peso de la ley,2017,2,3,9,8,7,Fernán Mirás,1.0,
Speed Kills,2018,14,2,3,8,1,Jodi Scurfield,45.0,16.0
Kittu Unnadu Jagratha,2017,12,,,8,7,Vamsi Krishna,,
Rabb Da Radio,2017,3,,,8,7,"Harry Bhatti, Taranvir Singh Jagpal",9.0,1.0
Poramon 2,2018,3,7,,8,7,Raihan Rafi,5.0,2.0
Saab Bahadar,2017,16,,,8,7,Amrit Raj Chadha,2.0,
Channa Mereya,2017,7,,,8,7,Pankaj Batra,2.0,
Plan B,2018,12,3,7,8,7,Kinga Debska,,
Gisaengchung,2019,12,3,16,8,7,Bong Joon Ho,379.0,285.0
High Heel Homicide,2017,16,,,4,1,Dean McKendrick,1.0,
Lazzaro felice,2018,3,6,,5,2,Alice Rohrwacher,47.0,114.0
Chained for Life,2018,3,,,4,1,Aaron Schimberg,2.0,60.0
Shi mian,2017,10,,,8,7,Herman Yau,3.0,10.0
Rossz versek,2018,12,3,,8,7,Gábor Reisz,1.0,3.0
The Neighborhood,2017,3,,,8,1,Frank D'Angelo,25.0,3.0
The Take Down,2017,14,,,2,1,David Newton,5.0,2.0
Sümela'nin Sifresi 3: Cünyor Temel,2017,12,,,8,7,Adem Kiliç,,
Mater,2017,3,,,8,7,Pablo D'Alo Abba,4.0,
Brindavanam,2017,3,,,8,7,Radha Mohan,2.0,3.0
Wasp Network,2019,16,,,7,1,Olivier Assayas,8.0,21.0
DZIDZIO Contrabass,2017,12,,,8,7,Oleh Borshchevskyi,1.0,
Der Hauptmann,2017,3,4,8,1,3,Robert Schwentke,55.0,85.0
Thondan,2017,2,,,8,7,Samuthirakani,,4.0
Tortured for Christ,2018,1,3,,4,1,John Grooters,11.0,2.0
La Bolduc,2018,1,12,3,8,5,François Bouvier,1.0,2.0
Dogman,2018,2,3,16,5,2,Matteo Garrone,33.0,162.0
Time Freak,2018,12,3,7,4,1,Andrew Bowler,39.0,10.0
American Dreamer,2018,2,16,,4,1,Derrick Borte,9.0,7.0
Gangcheolbi,2017,14,,,8,7,WooSuk Yang,29.0,25.0
Bikini Blue,2017,3,,,8,1,Jaroslaw Marszewski,,
Abbaneun Ddal,2017,12,3,13,8,7,Hyung Hyup Kim,,1.0
Peppa Pig: My First Cinema Experience,2017,18,,,2,1,Mark Baker,9.0,
Karsandas Pay and Use,2017,7,,,8,7,Krishnadev Yagnik,6.0,
La Leyenda del Charro Negro,2018,18,,,8,7,Alberto Rodriguez,,
Trouble,2019,18,12,13,8,1,Kevin Johnson,6.0,1.0
Escape Plan: The Extractors,2019,14,2,16,4,1,John Herzfeld,158.0,40.0
Xi huan ni,2017,12,3,7,8,7,Derek Hui,8.0,10.0
The Campus,2018,6,10,9,4,1,J. Horton,23.0,22.0
Truth or Dare,2018,10,16,,4,1,Jeff Wadlow,373.0,203.0
Tucked,2018,3,,,2,1,Jamie Patterson,13.0,14.0
Masterpiece,2017,14,2,9,8,7,Ajai Vasudev,16.0,4.0
Pullikkaran Staraa,2017,3,,,8,7,Syamdhar,4.0,1.0
Diwanji Moola Grand Prix,2018,12,17,16,8,7,Anil Radhakrishnan Menon,2.0,2.0
Aiyaary,2018,14,16,,8,7,Neeraj Pandey,44.0,105.0
Queen,2018,12,2,9,8,7,Dijo Jose Antony,12.0,
Durga Sohay,2017,3,13,,8,7,Arindam Sil,2.0,1.0
Curtiz,2018,1,3,4,8,1,Tamas Yvan Topolanszky,5.0,6.0
Occupation,2018,14,3,15,8,1,Luke Sparke,389.0,33.0
Andið eðlilega,2018,3,,,8,7,Isold Uggadottir,12.0,23.0
Lerd,2017,3,,,8,7,Mohammad Rasoulof,3.0,38.0
Aala Kaf Ifrit,2017,2,3,16,8,7,Kaouther Ben Hania,7.0,36.0
Tesnota,2017,3,,,3,6,Kantemir Balagov,4.0,37.0
24 Frames,2017,3,,,8,1,Abbas Kiarostami,7.0,47.0
Aknyeo,2017,14,3,,8,7,Byung-gil Jung,64.0,137.0
Bulhandang,2017,14,2,3,8,7,Sung-hyun Byun,7.0,32.0
Night School,2018,12,,,4,1,Malcolm D. Lee,290.0,98.0
The Padre,2018,2,3,,8,1,Jonathan Sobol,9.0,5.0
Katte ni furuetero,2017,12,3,,6,4,Akiko Ohku,4.0,14.0
Haripada Bandwala,2016,12,7,,8,7,Pathikrit Basu,,
Niemand in de stad,2018,3,,,8,7,Michiel van Erp,,4.0
Sandik,2018,10,,,8,7,H. Mucahit Pehlivan,1.0,
La vendedora de fósforos,2017,3,,,8,7,Alejo Moguillansky,1.0,4.0
Chalard games goeng,2017,12,2,3,8,7,Nattawut Poonpiriya,63.0,44.0
Aakasha Mittayee,2017,12,,,8,7,"M. Padmakumar, Samuthirakani",2.0,
Velipadinte Pusthakam,2017,14,12,3,8,7,Lal Jose,9.0,2.0
Posto,2017,3,13,,8,7,"Shiboprosad Mukherjee, Nandita Roy",7.0,3.0
I Feel Pretty,2018,12,7,,8,1,"Abby Kohn, Marc Silverstein",598.0,167.0
Totem,2017,10,9,16,4,1,Marcel Sarmiento,13.0,6.0
Tumhari Sulu,2017,12,3,,8,7,Suresh Triveni,33.0,20.0
Como se Tornar o Pior Aluno da Escola,2017,12,,,8,7,Fabrício Bittar,6.0,4.0
La noche de 12 años,2018,1,2,3,8,7,Álvaro Brechner,25.0,72.0
A Deadly View,2018,16,,,8,1,Andrew Cymek,4.0,
The Devil's Doorway,2018,10,,,8,1,Aislinn Clarke,45.0,43.0
Campeones,2018,12,3,17,8,7,Javier Fesser,18.0,35.0
El crack cero,2019,16,,,8,7,José Luis Garci,,6.0
Will & Liz,2018,3,7,,4,7,Ansel Faraj,12.0,
Skyggenes dal,2017,3,10,9,8,7,Jonas Matzow Gulbrandsen,9.0,20.0
Mei hao de yi wai,2017,12,6,,8,7,Wi Ding Ho,5.0,3.0
Gek van Oranje,2018,12,7,,8,7,Pim van Hoeve,,1.0
Seule à mon mariage,2018,3,,,8,5,Marta Bergman,,5.0
Verna,2017,2,3,16,8,7,Shoaib Mansoor,18.0,6.0
Nighthawks,2019,3,16,,4,7,Grant S. Johnson,5.0,3.0
The 15:17 to Paris,2018,1,3,16,4,1,Clint Eastwood,385.0,165.0
Hombre de fe,2017,1,3,17,8,7,Dinga Haines,,2.0
A Ciambra,2017,2,3,,5,2,Jonas Carpignano,8.0,64.0
Terrortory 2,2018,10,,,4,1,Kevin Kangas,7.0,2.0
The Vast of Night,2019,6,9,15,4,1,Andrew Patterson,4.0,21.0
The Grave Caller,2017,10,,,4,1,Joseph Anderson,,1.0
Don't Let Go,2019,3,10,9,4,1,Jacob Estes,55.0,40.0
L'intrusa,2017,3,,,5,2,Leonardo di Costanzo,1.0,11.0
La defensa del dragon,2017,3,,,8,7,Natalia Santa,1.0,8.0
Honey Bee 2.5,2017,12,3,,8,7,Shyju Anthikkad,2.0,1.0
Petit paysan,2017,3,,,7,5,Hubert Charuel,4.0,24.0
Une vie violente,2017,3,16,,7,5,Thierry de Peretti,4.0,14.0
Gabriel e a Montanha,2017,3,,,8,1,Fellipe Barbosa,5.0,29.0
Le trip à trois,2017,12,,,8,5,Nicolas Monette,1.0,1.0
Fast & Furious Presents: Hobbs & Shaw,2019,14,5,,4,1,David Leitch,1012.0,279.0
Zahradnictví: Rodinný prítel,2017,3,4,7,8,7,Jan Hrebejk,1.0,13.0
Fear Level,2018,10,,,4,1,Jd Allen,9.0,1.0
Doe,2018,16,,,4,1,Justin Foia,10.0,2.0
Kuttanpillayude Sivarathri,2018,12,3,9,8,7,Jean Markose,9.0,
4N1K,2017,12,,,8,7,Deniz Coskun,,1.0
Eaten by Lions,2018,12,,,2,1,Jason Wingard,15.0,36.0
Gli sdraiati,2017,12,3,,5,2,Francesca Archibugi,2.0,3.0
The Kid Who Would Be King,2019,14,5,13,2,1,Joe Cornish,155.0,138.0
Je vais mieux,2017,12,,,7,5,Jean-Pierre Améris,,5.0
The Dark Side of the Womb,2017,12,10,,4,1,Sam Salerno,5.0,13.0
Qimen Dunjia,2017,14,5,6,8,7,Woo-Ping Yuen,12.0,13.0
Skammerens datter II: Slangens gave,2019,5,3,6,8,7,Ask Hasselbalch,2.0,3.0
Si-gan-wi-ui jib,2017,10,9,16,8,7,Dae-wung Lim,7.0,13.0
Djam,2017,5,3,20,7,5,Tony Gatlif,6.0,25.0
Al Batneyya,1980,3,,,8,7,Houssam El-Din Mustafa,,
Hello,2017,14,7,,8,7,Vikram K. Kumar,11.0,4.0
Imgeumnimui sagunsoocheob,2017,12,9,,8,7,Hyun-Sung Moon,2.0,2.0
Om det oändliga,2019,3,,,8,7,Roy Andersson,,23.0
"Hilfe, ich hab meine Eltern geschrumpft",2018,14,5,12,1,3,Tim Trageser,1.0,9.0
Sluga naroda 2,2016,12,13,,8,6,Aleksey Kiryushchenko,2.0,
Paradise,2016,12,3,,8,7,Ali Atshani,,3.0
"Madame Mills, une voisine si parfaite",2018,12,,,8,5,Sophie Marceau,1.0,2.0
