title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Black Mask 2: City of Masks,2002,14,3,15,8,1,Hark Tsui,42.0,24.0
Bufo & Spallanzani,2001,2,10,9,8,7,Flávio Ramos Tambellini,5.0,
Catch Me If You Can,2002,1,2,3,4,1,Steven Spielberg,759.0,202.0
Changing Lanes,2002,3,16,,4,1,Roger Michell,352.0,162.0
The Christmas Path,1998,13,,,4,1,Bernard Salzmann,2.0,1.0
Commedia sexy,2001,12,,,5,2,Claudio Bigagli,,
Cuibul de viespi,1987,12,,,8,7,Horea Popescu,5.0,
Dagon,2001,6,10,9,8,1,Stuart Gordon,212.0,96.0
El embrujo de Shanghai,2002,3,9,,8,7,Fernando Trueba,6.0,5.0
Extemporal la dirigentie,1987,12,7,,8,7,Nicolae Corjos,2.0,
Extreme Honor,2001,14,3,,4,1,Steven Rush,9.0,6.0
Frailty,2001,2,3,16,4,1,Bill Paxton,492.0,187.0
Head Cheerleader Dead Cheerleader,2000,10,,,4,1,Jeff Miller,11.0,9.0
High Times Potluck,2002,12,2,,4,1,Alison Thompson,10.0,1.0
Home Room,2002,2,3,,4,1,Paul F. Ryan,57.0,22.0
Interstate 84,2000,3,9,,4,1,Ross Partridge,4.0,1.0
Kissing Jessica Stein,2001,12,3,7,4,1,Charles Herman-Wurmfeld,191.0,110.0
Let's Get Skase,2001,14,5,12,8,1,Matthew George,31.0,5.0
Life as a House,2001,3,,,4,1,Irwin Winkler,355.0,98.0
Magalir Mattum,1994,12,3,16,8,7,Singeetam Srinivasa Rao,1.0,
Mondscheintarif,2001,12,7,,1,3,Ralf Huettner,6.0,11.0
Murder by Numbers,2002,2,9,16,4,1,Barbet Schroeder,307.0,133.0
Los niños invisibles,2001,12,3,,8,7,Lisandro Duque Naranjo,3.0,
La primera noche,2003,3,,,8,7,Luis Alberto Restrepo,3.0,
Girl Fever,2002,12,7,,4,1,Michael Davis,34.0,6.0
De 7 dødssyndene,2000,3,,,8,7,"Lars Gudmestad, Dag Johan Haugerud",1.0,
Aa! Megamisama! The Movie,2000,18,12,3,6,4,Hiroaki Gôda,18.0,6.0
America's Sweethearts,2001,12,7,,4,1,Joe Roth,342.0,143.0
Black Hawk Down,2001,3,4,8,4,1,Ridley Scott,1134.0,216.0
Black Knight,2001,5,12,6,4,1,Gil Junger,169.0,49.0
Boys Life 3,2000,3,7,,7,1,"Gregory Cooke, David Fourier",3.0,12.0
The Breed,2001,14,5,10,4,1,Michael Oblowitz,74.0,25.0
Yun zhuan shou zhi lian,2000,12,,,8,7,"Hwa-Kun Chang, Yi-wen Chen",3.0,1.0
Chaos,2001,12,3,2,7,5,Coline Serreau,30.0,36.0
Choke,2001,16,,,4,1,John Sjogren,24.0,3.0
Crime Partners,2003,2,,,4,1,J. Jesses Smith,5.0,
Dar Alanda Kisa Paslasmalar,2000,3,17,,8,7,Serdar Akar,2.0,
